                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     59,                0.51242,                0.61585,                0.36523,                0.94485,                0.99422,                0.99566,                  0.995,                0.88602,                0.99422,                0.99566,                  0.995,                0.92282,                0.43862,                0.56392,                0.29239,                0.93053,               0.007129,               0.007129,               0.007129
                     60,                0.51664,                0.62123,                0.37715,                0.95133,                 0.9797,                0.99219,                0.99477,                0.88676,                 0.9797,                0.99219,                0.99477,                0.91016,                0.42043,                 0.5434,                0.30088,                0.90353,              0.0070795,              0.0070795,              0.0070795
                     61,                0.51033,                0.58017,                0.36692,                0.92526,                0.98634,                0.99264,                0.99455,                0.88912,                0.98634,                0.99264,                0.99455,                0.91323,                0.43688,                 0.5419,                0.30325,                0.90661,                0.00703,                0.00703,                0.00703
                     62,                0.50968,                0.60526,                0.36315,                0.93413,                0.98458,                 0.9939,                0.99455,                0.89646,                0.98458,                 0.9939,                0.99455,                0.91554,                0.44068,                0.56571,                0.31111,                0.91464,              0.0069805,              0.0069805,              0.0069805
                     63,                0.49942,                0.60283,                0.36635,                0.93068,                0.98816,                      1,                  0.995,                0.89816,                0.98816,                      1,                  0.995,                0.90911,                0.42957,                0.54637,                0.29613,                0.91207,               0.006931,               0.006931,               0.006931
                     64,                0.49664,                0.59777,                0.35684,                0.93207,                0.98642,                      1,                  0.995,                0.87683,                0.98642,                      1,                  0.995,                0.92635,                0.42494,                0.53139,                0.28907,                0.91614,              0.0068815,              0.0068815,              0.0068815
                     65,                0.51655,                0.60341,                0.36407,                0.94325,                0.98617,                      1,                  0.995,                0.86832,                0.98617,                      1,                  0.995,                0.92003,                0.42626,                0.53169,                0.30145,                0.92741,               0.006832,               0.006832,               0.006832
                     66,                0.49603,                0.60722,                0.36394,                0.93404,                0.99558,                0.99479,                  0.995,                0.89538,                0.99558,                0.99479,                  0.995,                0.90902,                0.42994,                0.53935,                0.28911,                0.91747,              0.0067825,              0.0067825,              0.0067825
                     67,                0.48704,                0.57639,                0.35196,                0.92645,                0.99147,                0.99565,                  0.995,                0.89959,                0.99147,                0.99565,                  0.995,                0.91488,                0.42977,                0.55399,                0.27803,                0.90295,               0.006733,               0.006733,               0.006733
                     68,                0.49268,                0.60774,                0.35061,                0.92007,                 0.9776,                0.99809,                0.99432,                0.87922,                 0.9776,                0.99809,                0.99432,                0.90453,                0.44627,                0.55232,                0.28079,                0.90647,              0.0066835,              0.0066835,              0.0066835
                     69,                0.51886,                 0.5757,                0.36271,                 0.9363,                0.99308,                0.99709,                  0.995,                0.88838,                0.99308,                0.99709,                  0.995,                0.91289,                0.42349,                0.55169,                0.27476,                0.90589,               0.006634,               0.006634,               0.006634
                     70,                0.48581,                 0.5454,                0.34038,                0.92136,                0.99237,                0.99219,                0.99477,                0.89483,                0.99237,                0.99219,                0.99477,                0.90132,                0.42792,                0.55449,                0.27479,                0.91114,              0.0065845,              0.0065845,              0.0065845
                     71,                0.49401,                0.61813,                0.34025,                0.92397,                 0.9897,                0.98914,                0.99477,                0.90374,                0.98869,                0.99033,                  0.995,                0.91213,                0.40514,                0.56108,                0.26049,                 0.8955,               0.006535,               0.006535,               0.006535
                     72,                0.49054,                0.61252,                0.34077,                0.92347,                0.98365,                0.98438,                0.99455,                0.89832,                0.98338,                      1,                  0.995,                0.92119,                0.41154,                  0.559,                 0.2746,                0.89815,              0.0064855,              0.0064855,              0.0064855
                     73,                0.47804,                0.61612,                0.33577,                0.92076,                0.98665,                0.99252,                  0.995,                0.89785,                0.98665,                0.99252,                  0.995,                0.90883,                0.39177,                0.54748,                0.24539,                0.90366,               0.006436,               0.006436,               0.006436
                     74,                0.47664,                0.60094,                 0.3359,                0.92836,                0.99511,                0.99327,                  0.995,                 0.9024,                0.99511,                0.99327,                  0.995,                0.92463,                0.41293,                0.53342,                0.26098,                0.90575,              0.0063865,              0.0063865,              0.0063865
                     75,                0.47222,                0.58662,                0.33248,                0.91477,                 0.9941,                0.99917,                  0.995,                0.89643,                 0.9941,                0.99917,                  0.995,                0.91739,                0.42237,                0.54262,                0.27084,                0.90764,               0.006337,               0.006337,               0.006337
                     76,                0.49106,                0.58186,                0.34398,                0.91245,                0.99094,                0.99705,                  0.995,                0.89547,                0.99094,                0.99705,                  0.995,                0.91615,                0.42497,                0.54506,                0.26393,                0.90244,              0.0062875,              0.0062875,              0.0062875
                     77,                0.46293,                0.60823,                0.32796,                0.90972,                0.98775,                      1,                  0.995,                0.90276,                0.98775,                      1,                  0.995,                0.92782,                0.41399,                0.53845,                0.25581,                 0.9061,               0.006238,               0.006238,               0.006238
                     78,                0.47154,                0.57007,                 0.3275,                0.91248,                0.98796,                0.99866,                0.99455,                 0.9054,                0.98796,                0.99866,                0.99455,                0.92809,                0.41449,                0.54338,                0.26371,                0.90187,              0.0061885,              0.0061885,              0.0061885
                     79,                0.47731,                0.59026,                0.33182,                0.91981,                0.99401,                0.98941,                0.99456,                0.90485,                0.99401,                0.98941,                0.99456,                0.92098,                0.41281,                0.54464,                 0.2612,                0.89859,               0.006139,               0.006139,               0.006139
                     80,                0.46915,                0.57891,                0.32935,                0.92518,                0.99175,                0.98818,                0.99456,                0.89662,                0.99175,                0.98818,                0.99456,                 0.9116,                0.41195,                0.55392,                0.26525,                0.90018,              0.0060895,              0.0060895,              0.0060895
                     81,                0.46435,                0.58705,                0.32165,                0.92265,                0.98466,                      1,                  0.995,                0.90115,                0.98466,                      1,                  0.995,                0.91775,                0.41729,                0.54461,                 0.2701,                0.89556,                0.00604,                0.00604,                0.00604
                     82,                0.46224,                0.60104,                0.31599,                0.91009,                0.99143,                0.99175,                  0.995,                0.90393,                0.99143,                0.99175,                  0.995,                0.91533,                0.40592,                 0.5529,                0.25803,                0.89247,              0.0059905,              0.0059905,              0.0059905
                     83,                0.46171,                0.55423,                0.31909,                  0.908,                0.98009,                0.99611,                0.99432,                 0.9059,                0.98009,                0.99611,                0.99432,                0.91355,                0.40826,                0.56902,                 0.2642,                0.90548,               0.005941,               0.005941,               0.005941
